human_gene,disease,human_uid,mimic_uid,mimic_species,source_type,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,Q8W571,arabidopsis,dietary,92,0.9471,0.9345,323,319,94.0,110.0
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,Q9ZPE7,arabidopsis,dietary,92,0.9471,0.9363,323,310,94.0,133.0
DLL1,Neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures,O00548,Q5A201,candida,microbial,92,0.9245,0.9057,719,708,72.0,53.0
RAB33B,Smith-McCort dysplasia 2,Q9H082,Q9PN78,campylobacter,microbial,92,0.9226,0.932,225,222,89.0,68.0
TACSTD2,"Corneal dystrophy, gelatinous drop-like",P09758,P46617,maize,dietary,92,0.9237,0.9251,319,316,92.0,56.0
LINGO1,"Intellectual developmental disorder, autosomal recessive 64",Q96FE5,Q84MA2,arabidopsis,dietary,92,0.9385,0.9224,616,586,85.0,85.0
CFI,"Hemolytic uremic syndrome, atypical, 3; Complement factor I deficiency; Macular degeneration, age-related, 13",P05156,Q94K98,arabidopsis,dietary,92,0.9115,0.9056,579,571,73.0,102.0
TBL1XR1,"Pierpont syndrome; Intellectual developmental disorder, autosomal dominant 41",Q9BZK7,O06291,tuberculosis,microbial,92,0.9331,0.9139,510,524,101.0,134.0
YAP1,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development",P46937,Q6I5Y0,rice,dietary,92,0.9336,0.9336,500,515,97.0,112.0
ELFN1,Dursun-Ozgul neurodevelopmental syndrome,P0C7U0,O64781,arabidopsis,dietary,92,0.921,0.915,824,827,94.0,84.0
ELFN1,Dursun-Ozgul neurodevelopmental syndrome,P0C7U0,Q9LIE4,arabidopsis,dietary,92,0.921,0.9142,824,702,94.0,84.0
IRF2BPL,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",Q9H1B7,Q9SHI3,arabidopsis,dietary,92,0.9343,0.9365,792,725,77.0,90.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,Q9SCV4,arabidopsis,dietary,92,0.9294,0.9172,807,848,99.0,94.0
TM2D3,Alzheimer disease,Q9BRN9,Q941A4,arabidopsis,dietary,92,0.9139,0.907,243,243,69.0,68.0
TM2D3,Alzheimer disease,Q9BRN9,Q9FKG1,arabidopsis,dietary,92,0.9139,0.9153,243,237,69.0,57.0
TM2D3,Alzheimer disease,Q9BRN9,A0A1D6F5N5,maize,dietary,92,0.9139,0.9152,243,243,69.0,52.0
TM2D3,Alzheimer disease,Q9BRN9,B6UI56,maize,dietary,92,0.9139,0.9132,243,246,69.0,54.0
LIMS2,"Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue",Q7Z4I7,C0SPA5,bacillus,microbial,92,0.9301,0.9254,337,345,63.0,98.0
NTRK1,Congenital insensitivity to pain with anhidrosis,P04629,C0LGW2,arabidopsis,dietary,92,0.9195,0.9097,792,880,55.0,45.0
NTRK1,Congenital insensitivity to pain with anhidrosis,P04629,Q9S7D9,arabidopsis,dietary,92,0.9195,0.9124,792,771,55.0,47.0
SCN2B,"Atrial fibrillation, familial, 14",O60939,Q9PN78,campylobacter,microbial,92,0.9396,0.932,211,222,76.0,68.0
TSHB,"Hypothyroidism, congenital, non-goitrous, 4",P01222,Q8GX02,arabidopsis,dietary,92,0.9304,0.9299,134,135,66.0,38.0
WFDC2,Bronchiectasis and nasal polyposis,Q14508,P40057,yeast,dietary,92,0.9365,0.9275,120,124,53.0,61.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q9STW5,arabidopsis,dietary,92,0.9242,0.9091,573,602,70.0,49.0
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q9I489,pseudomonas,microbial,92,0.9135,0.8938,356,340,43.0,38.0
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,P9WIX5,tuberculosis,microbial,92,0.9135,0.9127,356,309,43.0,38.0
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,Q8GX02,arabidopsis,dietary,92,0.9227,0.9299,115,135,51.0,38.0
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,P40949,bacillus,microbial,92,0.9288,0.9088,247,249,49.0,40.0
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,Q93VP3,arabidopsis,dietary,92,0.9252,0.932,137,155,39.0,53.0
DEAF1,"Vulto-van Silfout-de Vries syndrome; Neurodevelopmental disorder with hypotonia, impaired expressive language, and with ",O75398,P0DH87,arabidopsis,dietary,92,0.9329,0.9254,561,542,45.0,54.0
FSHB,Hypogonadotropic hypogonadism 24 with or without anosmia,P01225,Q8GX02,arabidopsis,dietary,92,0.9324,0.9299,125,135,47.0,38.0
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,Q06244,yeast,dietary,92,0.9188,0.9131,243,250,38.0,46.0
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,Q2FXM0,staph,microbial,92,0.9188,0.909,243,225,38.0,43.0
PPIB,Osteogenesis imperfecta 9,P23284,P28627,yeast,dietary,92,0.926,0.9222,212,186,45.0,41.0
PPIB,Osteogenesis imperfecta 9,P23284,P43082,arabidopsis,dietary,92,0.926,0.9311,212,208,45.0,62.0
PPIB,Osteogenesis imperfecta 9,P23284,P93000,arabidopsis,dietary,92,0.926,0.9323,212,215,45.0,42.0
PPIB,Osteogenesis imperfecta 9,P23284,Q9FZ27,arabidopsis,dietary,92,0.926,0.9191,212,215,45.0,52.0
PPIB,Osteogenesis imperfecta 9,P23284,P42316,bacillus,microbial,92,0.926,0.9074,212,212,45.0,46.0
SLURP1,Mal de Meleda,P55000,A8MS31,arabidopsis,dietary,92,0.9133,0.9095,99,102,29.0,27.0
ASIP,Obesity and hypopigmentation,P42127,O24565,maize,dietary,92,0.9352,0.9455,128,128,35.0,48.0
ASIP,Obesity and hypopigmentation,P42127,O24602,maize,dietary,92,0.9352,0.9186,128,127,35.0,41.0
B4GALNT1,"Spastic paraplegia 26, autosomal recessive",Q00973,O64937,rice,dietary,90,0.9536,0.9592,529,443,310.0,323.0
B4GALNT1,"Spastic paraplegia 26, autosomal recessive",Q00973,P38861,yeast,dietary,90,0.9536,0.9615,529,514,310.0,283.0
B4GALNT1,"Spastic paraplegia 26, autosomal recessive",Q00973,Q8L706,arabidopsis,dietary,90,0.9536,0.966,529,556,310.0,325.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,O82343,arabidopsis,dietary,90,0.9347,0.9428,563,557,296.0,329.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,Q9CAH1,arabidopsis,dietary,90,0.9347,0.9305,563,446,296.0,228.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,P38757,yeast,dietary,90,0.9393,0.9491,440,442,242.0,202.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,I6YC58,tuberculosis,microbial,90,0.9393,0.9384,440,451,242.0,224.0
DBT,Maple syrup urine disease 2,P11182,P14614,rice,dietary,90,0.9341,0.9341,478,496,249.0,210.0
DBT,Maple syrup urine disease 2,P11182,Q8GY60,arabidopsis,dietary,90,0.9341,0.9278,478,464,249.0,185.0
DBT,Maple syrup urine disease 2,P11182,Q9SL49,arabidopsis,dietary,90,0.9341,0.9366,478,503,249.0,232.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,P31384,yeast,dietary,90,0.9228,0.9229,631,833,241.0,222.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,A8R7E6,arabidopsis,dietary,90,0.9228,0.9265,631,613,241.0,179.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,Q8RXN5,arabidopsis,dietary,90,0.9228,0.9308,631,643,241.0,210.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,Q9SGZ5,arabidopsis,dietary,90,0.9228,0.9221,631,763,241.0,211.0
SASH3,Immunodeficiency 102,O75995,Q6ZIK5,rice,dietary,90,0.9403,0.9495,376,390,220.0,203.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q04693,yeast,dietary,90,0.9147,0.899,1380,1357,179.0,209.0
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,Q8ID66,malaria,parasitic,90,0.9529,0.9543,792,792,203.0,250.0
SQSTM1,"Paget disease of bone 3; Frontotemporal dementia and/or amyotrophic lateral sclerosis 3; Neurodegeneration with ataxia, ",Q13501,Q6ZIK5,rice,dietary,90,0.9421,0.9495,436,390,278.0,203.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,Q9SGZ5,arabidopsis,dietary,90,0.9196,0.9221,776,763,248.0,211.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,P20099,ecoli,microbial,90,0.9196,0.9157,776,773,248.0,177.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,Q9PNK3,campylobacter,microbial,90,0.9196,0.911,776,805,248.0,341.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,Q8LIL0,rice,dietary,90,0.9201,0.9213,413,398,217.0,202.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,Q12049,yeast,dietary,90,0.9201,0.9209,413,466,217.0,204.0
MPEG1,Immunodeficiency 77,Q2M385,Q04779,yeast,dietary,90,0.9321,0.9337,712,680,172.0,353.0
MPEG1,Immunodeficiency 77,Q2M385,O80809,arabidopsis,dietary,90,0.9321,0.9293,712,716,172.0,198.0
MPEG1,Immunodeficiency 77,Q2M385,Q9LXA5,arabidopsis,dietary,90,0.9321,0.9152,712,647,172.0,195.0
HFE,Hemochromatosis 1,Q30201,P9WNG3,tuberculosis,microbial,90,0.9481,0.9406,344,331,186.0,214.0
GRIN2A,"Epilepsy, focal, with speech disorder and with or without impaired intellectual development",Q12879,Q59ZC8,candida,microbial,90,0.913,0.9036,1460,1148,167.0,119.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,Q9LNV9,arabidopsis,dietary,90,0.9201,0.9237,1038,1073,171.0,125.0
KIRREL1,Nephrotic syndrome 23,Q96J84,Q9T0K5,arabidopsis,dietary,90,0.9271,0.9379,753,756,216.0,160.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q0J360,rice,dietary,90,0.914,0.9214,662,592,160.0,182.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q53LU4,rice,dietary,90,0.914,0.9097,662,591,160.0,160.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,F4I4K5,arabidopsis,dietary,90,0.914,0.9299,662,577,160.0,137.0
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q9LIB9,arabidopsis,dietary,90,0.914,0.9101,662,568,160.0,83.0
NTN1,Mirror movements 4,O95631,Q8L706,arabidopsis,dietary,90,0.9589,0.966,600,556,228.0,325.0
NTN1,Mirror movements 4,O95631,Q9LQE3,arabidopsis,dietary,90,0.9589,0.9302,600,589,228.0,245.0
EPOR,"Erythrocytosis, familial, 1",P19235,Q5EAH9,arabidopsis,dietary,90,0.9216,0.9157,504,574,153.0,111.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,P36115,yeast,dietary,90,0.9249,0.9296,627,611,173.0,173.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,F4JCX9,arabidopsis,dietary,90,0.9249,0.904,627,659,173.0,151.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,Q9LFA6,arabidopsis,dietary,90,0.9249,0.92,627,723,173.0,152.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q9LX20,arabidopsis,dietary,90,0.923,0.9303,538,524,186.0,152.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q9I060,pseudomonas,microbial,90,0.923,0.9308,538,595,186.0,256.0
TLR5,Systemic lupus erythematosus 1,O60602,Q9LPZ3,arabidopsis,dietary,90,0.9273,0.9183,854,841,136.0,131.0
SUN5,Spermatogenic failure 16,Q8TC36,P53740,yeast,dietary,90,0.9327,0.9351,375,389,205.0,194.0
SUN5,Spermatogenic failure 16,Q8TC36,P54472,bacillus,microbial,90,0.9327,0.9334,375,369,205.0,147.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,P25776,rice,dietary,90,0.929,0.9372,471,454,175.0,96.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,F4K5K4,arabidopsis,dietary,90,0.929,0.9283,471,481,175.0,107.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,Q940R4,arabidopsis,dietary,90,0.929,0.9241,471,495,175.0,145.0
NRXN1,Pitt-Hopkins-like syndrome 2; Schizophrenia 17,Q9ULB1,Q79FI9,tuberculosis,microbial,90,0.9223,0.913,1473,1455,171.0,138.0
FAM20C,Raine syndrome,Q8IXL6,Q9ZPY8,arabidopsis,dietary,90,0.9289,0.9125,580,562,139.0,117.0
JAG1,"Alagille syndrome 1; Tetralogy of Fallot; Deafness, congenital heart defects, and posterior embryotoxon; Charcot-Marie-T",P78504,P53751,yeast,dietary,90,0.933,0.9342,1214,1112,163.0,181.0
CHRNA4,"Epilepsy, nocturnal frontal lobe, 1",P43681,Q7DMA9,arabidopsis,dietary,90,0.931,0.9126,623,631,147.0,125.0
PRKCH,Ischemic stroke,P24723,Q6Z6K4,rice,dietary,90,0.9153,0.9105,679,725,125.0,113.0
PRKCH,Ischemic stroke,P24723,F4J3R7,arabidopsis,dietary,90,0.9153,0.9132,679,680,125.0,162.0
PRKCH,Ischemic stroke,P24723,O04533,arabidopsis,dietary,90,0.9153,0.9153,679,652,125.0,153.0
PRKCH,Ischemic stroke,P24723,Q8RWZ1,arabidopsis,dietary,90,0.9153,0.9068,679,764,125.0,89.0
PRKCH,Ischemic stroke,P24723,Q9FJI4,arabidopsis,dietary,90,0.9153,0.9187,679,671,125.0,119.0
PRKCH,Ischemic stroke,P24723,Q9M1G4,arabidopsis,dietary,90,0.9153,0.8993,679,670,125.0,113.0
AIRE,"Autoimmune polyendocrine syndrome 1, with or without reversible metaphyseal dysplasia",O43918,Q9SNB9,arabidopsis,dietary,90,0.9337,0.9241,541,549,180.0,246.0
HAAO,"Vertebral, cardiac, renal, and limb defects syndrome 1",P46952,Q4PR41,rice,dietary,90,0.9233,0.9288,282,251,144.0,142.0
HAAO,"Vertebral, cardiac, renal, and limb defects syndrome 1",P46952,Q38907,arabidopsis,dietary,90,0.9233,0.9045,282,280,144.0,78.0
HAAO,"Vertebral, cardiac, renal, and limb defects syndrome 1",P46952,Q8LER3,arabidopsis,dietary,90,0.9233,0.9157,282,289,144.0,131.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,P38758,yeast,dietary,90,0.9298,0.9332,532,519,148.0,180.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,A3KPF2,arabidopsis,dietary,90,0.9298,0.9203,532,524,148.0,192.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,P56008,helicobacter,microbial,90,0.9298,0.925,532,552,148.0,134.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q5A846,candida,microbial,90,0.9298,0.9293,532,545,148.0,147.0
TNFRSF10B,Squamous cell carcinoma of the head and neck,O14763,P39122,bacillus,microbial,90,0.9265,0.9201,436,376,133.0,130.0
ZMIZ1,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,Q9ULJ6,Q9M364,arabidopsis,dietary,90,0.9164,0.9079,1063,1014,128.0,140.0
FCGR2B,Systemic lupus erythematosus,P31994,Q5ACV9,candida,microbial,90,0.9475,0.9389,306,312,147.0,130.0
MFRP,"Nanophthalmos 2; Microphthalmia, isolated, 5",Q9BY79,Q52QU2,arabidopsis,dietary,90,0.9357,0.9258,575,577,117.0,81.0
MFRP,"Nanophthalmos 2; Microphthalmia, isolated, 5",Q9BY79,Q9M9H4,arabidopsis,dietary,90,0.9357,0.9263,575,496,117.0,153.0
TPK1,"Thiamine metabolism dysfunction syndrome 5, episodic encephalopathy type",Q9H3S4,P38145,yeast,dietary,90,0.9477,0.939,239,234,153.0,109.0
TPK1,"Thiamine metabolism dysfunction syndrome 5, episodic encephalopathy type",Q9H3S4,Q9HZK1,pseudomonas,microbial,90,0.9477,0.9384,239,241,153.0,139.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,Q9C8T8,arabidopsis,dietary,90,0.9175,0.8979,430,444,117.0,71.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,Q9LT78,arabidopsis,dietary,90,0.9175,0.9167,430,448,117.0,86.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,Q53WK1,rice,dietary,90,0.9264,0.9262,833,740,145.0,175.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,P48370,helicobacter,microbial,90,0.9264,0.9263,833,823,145.0,136.0
RTN4R,Schizophrenia,Q9BZR6,Q6Z4G7,rice,dietary,90,0.9394,0.9461,469,447,157.0,181.0
RTN4R,Schizophrenia,Q9BZR6,O23147,arabidopsis,dietary,90,0.9394,0.9429,469,427,157.0,210.0
RTN4R,Schizophrenia,Q9BZR6,Q8S9J6,arabidopsis,dietary,90,0.9394,0.935,469,470,157.0,115.0
RTN4R,Schizophrenia,Q9BZR6,Q9SCK6,arabidopsis,dietary,90,0.9394,0.9449,469,465,157.0,183.0
FBXW4,Split-hand/foot malformation 3,P57775,Q75IW1,rice,dietary,90,0.9279,0.9279,408,454,114.0,105.0
FBXW4,Split-hand/foot malformation 3,P57775,P36081,yeast,dietary,90,0.9279,0.925,408,388,114.0,86.0
FBXW4,Split-hand/foot malformation 3,P57775,O23038,arabidopsis,dietary,90,0.9279,0.9263,408,389,114.0,79.0
FBXW4,Split-hand/foot malformation 3,P57775,Q6XBF8,arabidopsis,dietary,90,0.9279,0.9182,408,433,114.0,150.0
FBXW4,Split-hand/foot malformation 3,P57775,Q940R4,arabidopsis,dietary,90,0.9279,0.9241,408,495,114.0,145.0
ZNF341,"Hyper-IgE syndrome 3, autosomal recessive, with recurrent infections",Q9BYN7,P34758,yeast,dietary,90,0.9135,0.9119,850,868,104.0,162.0
ZNF341,"Hyper-IgE syndrome 3, autosomal recessive, with recurrent infections",Q9BYN7,Q8H0T9,arabidopsis,dietary,90,0.9135,0.9161,850,833,104.0,120.0
ZNF341,"Hyper-IgE syndrome 3, autosomal recessive, with recurrent infections",Q9BYN7,Q9SCV9,arabidopsis,dietary,90,0.9135,0.9122,850,852,104.0,145.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,Q8W0A1,rice,dietary,90,0.9158,0.9154,818,823,122.0,86.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,P14680,yeast,dietary,90,0.9158,0.8917,818,803,122.0,89.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,Q9S7Y7,arabidopsis,dietary,90,0.9158,0.9039,818,911,122.0,137.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,Q9SCV4,arabidopsis,dietary,90,0.9158,0.9172,818,848,122.0,94.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,Q9SCV9,arabidopsis,dietary,90,0.9158,0.9122,818,852,122.0,145.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,P15877,ecoli,microbial,90,0.9158,0.9128,818,792,122.0,145.0
SOHLH1,Spermatogenic failure 32; Ovarian dysgenesis 5,Q5JUK2,Q0JB89,rice,dietary,90,0.9361,0.941,324,339,108.0,133.0
SLITRK1,Trichotillomania,Q96PX8,P36115,yeast,dietary,90,0.9315,0.9296,692,611,109.0,173.0
SLITRK1,Trichotillomania,Q96PX8,Q9XI96,arabidopsis,dietary,90,0.9315,0.9229,692,695,109.0,113.0
CHM,Choroideremia,P24386,P36115,yeast,dietary,90,0.9213,0.9296,649,611,133.0,173.0
CHM,Choroideremia,P24386,Q9FZ97,arabidopsis,dietary,90,0.9213,0.9126,649,577,133.0,100.0
CHM,Choroideremia,P24386,Q9LXA5,arabidopsis,dietary,90,0.9213,0.9152,649,647,133.0,195.0
CHM,Choroideremia,P24386,P9WI79,tuberculosis,microbial,90,0.9213,0.9291,649,660,133.0,118.0
CHM,Choroideremia,P24386,P9WMV9,tuberculosis,microbial,90,0.9213,0.9115,649,574,133.0,141.0
AMN,Imerslund-Grasbeck syndrome 2,Q9BXJ7,Q8I6V3,malaria,parasitic,90,0.9481,0.9482,449,449,127.0,169.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q7XUF4,rice,dietary,90,0.9163,0.9079,692,706,116.0,114.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q9LFA6,arabidopsis,dietary,90,0.9163,0.92,692,723,116.0,152.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q8I5Z5,malaria,parasitic,90,0.9163,0.9011,692,777,116.0,143.0
DLL4,Adams-Oliver syndrome 6,Q9NR61,Q6K2M1,rice,dietary,90,0.9282,0.9183,681,686,120.0,84.0
DLL4,Adams-Oliver syndrome 6,Q9NR61,Q9C8N7,arabidopsis,dietary,90,0.9282,0.9353,681,594,120.0,209.0
DLL4,Adams-Oliver syndrome 6,Q9NR61,Q9FRK5,arabidopsis,dietary,90,0.9282,0.9209,681,613,120.0,86.0
DLL4,Adams-Oliver syndrome 6,Q9NR61,Q5ABU8,candida,microbial,90,0.9282,0.9291,681,642,120.0,118.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,P00946,ecoli,microbial,90,0.9336,0.9245,386,387,127.0,165.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,C0SPA5,bacillus,microbial,90,0.9336,0.9254,386,345,127.0,98.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,P54472,bacillus,microbial,90,0.9336,0.9334,386,369,127.0,147.0
POMGNT1,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3; Muscular dystrophy-dystroglycanopathy ,Q8WZA1,O65431,arabidopsis,dietary,90,0.9385,0.9294,656,500,95.0,70.0
HNRNPDL,"Muscular dystrophy, limb-girdle, autosomal dominant 3",O14979,Q9LVQ7,arabidopsis,dietary,90,0.9188,0.9152,416,496,133.0,109.0
LAMP2,Danon disease,P13473,P25580,yeast,dietary,90,0.954,0.9545,406,412,103.0,199.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,Q75IW1,rice,dietary,90,0.9285,0.9279,392,454,130.0,105.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,O23038,arabidopsis,dietary,90,0.9285,0.9263,392,389,130.0,79.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,Q9LTF5,arabidopsis,dietary,90,0.9285,0.9317,392,371,130.0,156.0
ERCC8,Cockayne syndrome A; UV-sensitive syndrome 2,Q13216,Q9LVQ8,arabidopsis,dietary,90,0.9285,0.92,392,410,130.0,102.0
GSX2,Diencephalic-mesencephalic junction dysplasia syndrome 2,Q9BZM3,Q6AWY7,rice,dietary,90,0.9401,0.9434,300,297,138.0,116.0
SYN1,"Epilepsy, X-linked 1, with variable learning disabilities and behavior disorders; Intellectual developmental disorder, X",P17600,O48847,arabidopsis,dietary,90,0.9187,0.9148,701,783,108.0,84.0
SYN1,"Epilepsy, X-linked 1, with variable learning disabilities and behavior disorders; Intellectual developmental disorder, X",P17600,Q9FRK5,arabidopsis,dietary,90,0.9187,0.9209,701,613,108.0,86.0
CDC40,Pontocerebellar hypoplasia 15,O60508,Q5MBR5,rice,dietary,90,0.9174,0.9087,575,604,118.0,166.0
CDC40,Pontocerebellar hypoplasia 15,O60508,F4KFT6,arabidopsis,dietary,90,0.9174,0.9042,575,526,118.0,116.0
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,C0LGL4,arabidopsis,dietary,90,0.9204,0.925,900,876,86.0,98.0
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,P47735,arabidopsis,dietary,90,0.9204,0.9054,900,995,86.0,112.0
DLL3,"Spondylocostal dysostosis 1, autosomal recessive",Q9NYJ7,Q0J360,rice,dietary,90,0.9226,0.9214,614,592,103.0,182.0
DLL3,"Spondylocostal dysostosis 1, autosomal recessive",Q9NYJ7,Q08471,yeast,dietary,90,0.9226,0.9066,614,625,103.0,143.0
DLL3,"Spondylocostal dysostosis 1, autosomal recessive",Q9NYJ7,F4I4K5,arabidopsis,dietary,90,0.9226,0.9299,614,577,103.0,137.0
DLL3,"Spondylocostal dysostosis 1, autosomal recessive",Q9NYJ7,Q9FRK5,arabidopsis,dietary,90,0.9226,0.9209,614,613,103.0,86.0
